storm_name,latitude,longitude,wind_speed,distance_to_land,nature,Impactful,year
ALBERTO,10.8,-18,25,221,TS,No,2000
ALBERTO,11.5,-20.1,30,373,TS,No,2000
ALBERTO,12,-22.3,35,599,TS,No,2000
ALBERTO,12.3,-23.8,35,732,TS,No,2000
ALBERTO,12.7,-25.2,40,861,TS,No,2000
ALBERTO,13.2,-26.7,40,1007,TS,No,2000
ALBERTO,13.7,-28.2,45,1159,TS,No,2000
ALBERTO,14.1,-29.8,45,1326,TS,No,2000
ALBERTO,14.5,-33.2,65,1689,TS,No,2000
ALBERTO,14.5,-31.4,55,1496,TS,No,2000
ALBERTO,14.6,-34.4,65,1818,TS,No,2000
ALBERTO,14.7,-35.4,70,1925,TS,No,2000
ALBERTO,15.2,-36.6,75,2020,TS,No,2000
ALBERTO,15.7,-38.1,75,1927,TS,No,2000
ALBERTO,16,-39.6,80,1831,TS,No,2000
ALBERTO,16.2,-41,80,1744,TS,No,2000
ALBERTO,16.5,-42.2,80,1689,TS,No,2000
ALBERTO,16.7,-43.6,75,1619,TS,No,2000
ALBERTO,17,-44.9,70,1565,TS,No,2000
ALBERTO,17.7,-45.7,70,1588,TS,No,2000
ALBERTO,18.6,-46.5,65,1638,TS,No,2000
ALBERTO,19.6,-47.2,60,1710,TS,No,2000
ALBERTO,20,-85,25,202,TS,No,2006
ALBERTO,20.6,-48.5,60,1736,TS,No,2000
ALBERTO,21,-85.3,30,103,TS,No,2006
ALBERTO,21.5,-85.6,30,76,TS,No,1994
ALBERTO,21.6,-85.2,30,39,TS,No,1994
ALBERTO,21.6,-84.3,25,30,TS,No,1994
ALBERTO,21.7,-83.6,25,46,TS,No,1994
ALBERTO,21.9,-85.7,30,72,TS,No,2006
ALBERTO,21.9,-49.9,55,1683,TS,No,2000
ALBERTO,22,-86.1,30,106,TS,No,1994
ALBERTO,22.5,-86.4,30,127,TS,No,1994
ALBERTO,22.5,-86.3,35,133,TS,No,2006
ALBERTO,23,-86.7,30,170,TS,No,1994
ALBERTO,23.1,-87.1,35,178,TS,No,2006
ALBERTO,23.4,-51.3,60,1585,TS,No,2000
ALBERTO,23.6,-87.8,40,234,TS,No,2006
ALBERTO,23.7,-87.1,35,245,TS,No,1994
ALBERTO,24.3,-87.8,40,312,TS,No,2006
ALBERTO,24.4,-87.5,35,324,TS,No,1994
ALBERTO,24.8,-52.6,65,1521,TS,No,2000
ALBERTO,25,-87.8,40,391,TS,No,2006
ALBERTO,25.5,-87.5,40,421,TS,No,1994
ALBERTO,25.8,-87.4,45,394,TS,No,2006
ALBERTO,26.1,-54,65,1470,TS,No,2000
ALBERTO,26.5,-86.9,45,353,TS,No,1994
ALBERTO,26.8,-86.3,60,335,TS,No,2006
ALBERTO,27.5,-85.4,60,245,TS,No,2006
ALBERTO,27.5,-55.3,65,1463,TS,No,2000
ALBERTO,27.7,-86.8,45,261,TS,No,1994
ALBERTO,28,-85,60,189,TS,No,2006
ALBERTO,28.8,-86.8,50,168,TS,No,1994
ALBERTO,28.8,-84.4,55,111,TS,No,2006
ALBERTO,28.8,-56.7,65,1472,TS,No,2000
ALBERTO,29.5,-84.1,45,48,TS,No,2006
ALBERTO,29.9,-86.7,55,55,TS,Yes,1994
ALBERTO,29.9,-57.7,70,1513,TS,No,2000
ALBERTO,30.3,-83.5,35,0,TS,No,2006
ALBERTO,30.4,-79.8,35,156,TS,No,2012
ALBERTO,30.4,-79.1,35,220,TS,No,2012
ALBERTO,30.5,-78.3,35,284,TS,No,2012
ALBERTO,30.7,-86.3,45,0,TS,No,1994
ALBERTO,30.7,-80.1,35,124,TS,No,2012
ALBERTO,30.7,-77.1,35,335,TS,No,2012
ALBERTO,31.1,-79.9,40,130,TS,No,2012
ALBERTO,31.1,-58.4,75,1507,TS,No,2000
ALBERTO,31.2,-86.1,25,0,TS,No,1994
ALBERTO,31.3,-82.8,35,0,TS,No,2006
ALBERTO,31.5,-79.5,40,131,TS,No,2012
ALBERTO,31.5,-76.1,35,321,TS,No,2012
ALBERTO,31.7,-85.9,20,0,TS,No,1994
ALBERTO,31.9,-78.7,45,139,TS,No,2012
ALBERTO,32,-77.5,20,207,TS,No,1988
ALBERTO,32.1,-78.1,50,157,TS,No,2012
ALBERTO,32.2,-58.6,80,1387,TS,No,2000
ALBERTO,32.3,-85.5,20,0,TS,No,1994
ALBERTO,32.3,-77.6,45,179,TS,No,2012
ALBERTO,32.5,-77.3,40,169,TS,No,2012
ALBERTO,32.5,-74.7,30,296,DS,No,2012
ALBERTO,32.7,-86.6,10,0,TS,No,1994
ALBERTO,32.7,-86.3,10,0,TS,No,1994
ALBERTO,32.7,-85.2,20,0,TS,No,1994
ALBERTO,32.8,-86.8,10,0,TS,No,1994
ALBERTO,32.8,-85.4,15,0,TS,No,1994
ALBERTO,32.8,-81.9,30,0,TS,No,2006
ALBERTO,32.8,-77.1,30,148,TS,No,2012
ALBERTO,32.8,-76.2,20,207,TS,No,1988
ALBERTO,33,-87,10,0,TS,No,1994
ALBERTO,33,-85,20,0,TS,No,1994
ALBERTO,33,-45.8,50,1637,TS,No,2000
ALBERTO,33,-44.9,50,1668,TS,No,2000
ALBERTO,33,-44.2,45,1693,TS,No,2000
ALBERTO,33.1,-84.8,15,0,TS,No,1994
ALBERTO,33.1,-77,25,128,DS,No,2012
ALBERTO,33.2,-84.9,20,0,TS,No,1994
ALBERTO,33.2,-46.5,55,1594,TS,No,2000
ALBERTO,33.3,-84.8,20,0,TS,No,1994
ALBERTO,33.3,-84.5,15,0,TS,No,1994
ALBERTO,33.3,-58.5,85,1279,TS,No,2000
ALBERTO,33.4,-84.4,15,0,TS,Yes,1994
ALBERTO,33.4,-73.4,30,314,DS,No,2012
ALBERTO,33.4,-43.5,45,1681,TS,No,2000
ALBERTO,33.5,-84.6,20,0,TS,No,1994
ALBERTO,33.6,-47.1,55,1535,TS,No,2000
ALBERTO,33.9,-42.4,40,1679,TS,No,2000
ALBERTO,34,-75.2,20,142,TS,No,1988
ALBERTO,34.1,-71.9,25,378,DS,No,2012
