storm_name,latitude,longitude,wind_speed,year
ALBERTO,29.9,-86.7,55,1994
ALBERTO,33.4,-84.4,15,1994
ALBERTO,34.3,-80.7,35,2006
ALBERTO,35.5,-77.5,35,2006
ALBERTO,47,-63,35,1988
ALEX,17.5,-88.2,55,2010
ALEX,18,-89.1,55,2010
ALLISON,30,-90.5,35,2001
ALLISON,31,-88.4,35,2001
ALLISON,31.3,-87.4,25,2001
ALLISON,31.8,-82.8,30,1995
ALLISON,32.3,-94.5,20,1989
ALLISON,32.8,-93.8,20,1989
ALLISON,,-83.6,20,2001
ALLISON,33.1,-82.6,20,2001
ALLISON,33.4,-81.6,25,2001
ALLISON,33.6,-80,35,1995
ALLISON,33.7,-80.7,25,2001
ALLISON,34.3,-78.5,25,2001
ALLISON,34.5,-78.1,40,1995
ALLISON,34.6,-77.9,25,2001
ALLISON,,-77.6,25,2001
ALLISON,,-77.2,25,2001
ALLISON,34.7,-77.7,25,2001
ALLISON,34.9,-77,25,2001
ALLISON,35.5,-76.9,25,2001
ANA,25.9,-78,20,1991
ANA,26,-80.9,20,1991
ANA,26.2,-81.8,20,1991
ANA,26.7,-82.4,20,1991
ANA,29.3,-82.2,20,1991
ANA,29.9,-81.6,20,1991
ANA,30.4,-81,20,1991
ANA,33.9,-78.8,35,2015
ANA,34.3,-78.7,30,2015
ANA,34.7,-78.5,30,2015
ANA,35.5,-78,30,2015
ANDREA,33.5,-80.2,40,2013
ANDREA,35.2,-78.6,40,2013
ANDREA,39.9,-73.6,40,2013
ANDREA,44.5,-67,40,2013
ANDREW,25.4,-77.5,125,1992
ANDREW,25.6,-81.2,115,1992
ANDREW,29.2,-91.3,120,1992
ARLENE,27,-97.2,35,1993
ARLENE,27.1,-98.3,25,1993
ARLENE,,-98.1,30,1993
ARLENE,27.2,-97.9,30,1993
ARLENE,,-97.8,30,1993
ARLENE,30.1,-87.5,50,2005
ARLENE,31.4,-87.6,30,2005
ARLENE,35,-88,20,2005
ARLENE,37,-87.8,20,2005
ARLENE,40.5,-86,20,2005
ARTHUR,17.8,-88,40,2008
ARTHUR,18,-88.4,35,2008
ARTHUR,18.2,-89.8,35,2008
ARTHUR,,-88.8,35,2008
ARTHUR,33.9,-77.3,40,1996
ARTHUR,34,-77.3,85,2014
BARRY,14.2,-82.8,25,2013
BARRY,14.8,-83.8,25,2013
BARRY,16.6,-88.6,30,2013
BARRY,17,-89.3,25,2013
BARRY,29.7,-82.1,30,2007
BARRY,32.8,-80,40,2007
BARRY,33.7,-78.4,40,2007
BERTHA,27.2,-97.1,20,2002
BERTHA,27.5,-97.7,20,2002
BERTHA,29.6,-89.7,35,2002
BERTHA,30.3,-91.6,15,2002
BERTHA,30.5,-90.1,25,2002
BERTHA,30.6,-91.5,15,2002
BERTHA,33.6,-78.1,90,1996
BERTHA,35,-77.6,65,1996
BERTHA,40.2,-74.5,60,1996
BERTHA,44.1,-69,55,1996
BERTHA,47,-62,50,1996
BERYL,29.4,-87.3,25,1994
BERYL,29.7,-89.7,30,1988
BERYL,30.1,-90.9,40,1988
BERYL,,-90.4,45,1988
BERYL,,-80.7,60,2012
BERYL,30.2,-81.7,50,2012
BERYL,30.3,-91.6,30,1988
BERYL,30.4,-90.3,25,1988
BERYL,31.7,-82.7,25,2012
BERYL,33.3,-83.9,20,1994
BERYL,33.7,-78.9,40,2012
BERYL,34.5,-77.1,40,2012
BERYL,41.6,-73.9,15,1994
BERYL,45.5,-63.3,35,2006
BILL,29.1,-91,50,2003
BILL,30.4,-90.3,45,2003
BILL,37.4,-89.4,20,2015
BILL,37.8,-87.8,15,2015
BONNIE,17,-77.2,25,2004
BONNIE,17.1,-78.2,25,2004
BONNIE,17.2,-76.2,25,2004
BONNIE,23.8,-77.8,40,2010
BONNIE,25.8,-81.1,30,2010
BONNIE,26.3,-82.6,30,2010
BONNIE,29.8,-90.5,20,2010
BONNIE,30.1,-91,15,2010
BONNIE,34,-77.7,95,1998
BONNIE,34.5,-77.5,85,1998
BONNIE,34.9,-77.1,75,1998
BRET,26.6,-96.8,120,1999
BRET,26.9,-97.4,100,1999
BRET,27,-97.9,80,1999
BRET,27.3,-98.3,60,1999
CHANTAL,18.2,-88.1,55,2001
CHARLEY,17.4,-78.1,65,2004
CHARLEY,26.1,-82.4,125,2004
CHARLEY,30.1,-80.8,75,2004
CHARLEY,34.5,-78.1,60,2004
CHRIS,24.1,-77.2,30,1988
CHRIS,24.9,-78.1,30,1988
CHRIS,32.8,-81.1,35,1988
CHRIS,34.1,-81.1,25,1988
CHRIS,41.2,-73.6,20,1988
CINDY,29.6,-90,50,2005
CLAUDETTE,30.5,-86.6,40,2009
CRISTOBAL,33.7,-77.4,45,2008
DANNY,28.6,-91,50,1997
DANNY,28.9,-90.2,55,1997
DANNY,29.2,-89.9,65,1997
DANNY,29.8,-88.4,70,1997
DANNY,30.1,-88.1,65,1997
DANNY,30.3,-88,70,1997
DANNY,,-87.6,60,1997
DANNY,30.4,-87.9,65,1997
DANNY,,-87.5,45,1997
DANNY,30.6,-87.4,35,1997
DANNY,30.8,-87.4,30,1997
DANNY,31,-87.5,25,1997
DANNY,31.3,-87.6,20,1997
DANNY,34.6,-80.7,20,1997
DEAN,17.5,-77.8,125,2007
DEAN,20.5,-99,30,2007
DEBBY,19.8,-100.7,30,1988
DEBBY,20,-99.8,30,1988
DEBBY,20.3,-98.9,35,1988
DEBBY,29.5,-81.5,30,2012
DEBBY,,-80.3,30,2012
DENNIS,29.9,-86.9,110,2005
DENNIS,35.5,-77.7,35,1999
DENNIS,37.1,-89,15,2005
DENNIS,37.7,-88.7,15,2005
DENNIS,38.1,-88.3,15,2005
DENNIS,38.5,-87.8,15,2005
DENNIS,38.7,-85.6,10,2005
DENNIS,39,-85.6,10,2005
DENNIS,39.2,-86.5,15,2005
DENNIS,,-85.8,15,2005
DENNIS,,-85.7,10,2005
DENNIS,39.4,-86.5,10,2005
DENNIS,40.2,-86.2,10,2005
DOLLY,26.4,-97.2,75,2008
DOLLY,26.5,-97.8,65,2008
DOLLY,26.7,-98.3,55,2008
DON,27,-96.9,35,2011
DORIAN,23.7,-77.7,25,2013
